	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56	V57	V58	V59	V60	V61	V62	V63
1	0	22346	21407	22411	22340	22473	21661	22337	21383	21384	21385	21381	21382	21650	21381	22340	22338	22419	22366	22351	22336	22337	22348	22338	22477	21648	21650	21380	21457	21420	22336	22339	21385	21408	21385	21387	22338	21388	21384	22429	22426	22429	22411	22409	21849	22160	22468	29385	22469	22428	21459	22117	22278	22282	22263	22262	22263	22402	22289	22286	21319	21852	21851
2	22346	0	21760	21825	92	22305	22303	88	21747	21747	21745	21748	21750	22291	21755	21969	21968	398	225	161	92	90	171	121	22307	22292	22291	21748	21827	21780	21965	92	21747	21782	21747	21748	96	21750	21745	21418	21422	21418	22487	22490	21401	22224	21530	29190	21383	21609	22336	22307	317	321	22171	22158	22165	21465	324	296	21938	21395	21395
3	21407	21760	0	22116	21757	22306	21307	21757	126	126	127	130	133	21298	168	21757	21759	21822	21774	21769	21760	21761	21769	21768	22304	21300	21305	135	395	237	21763	21756	135	251	130	131	21755	133	135	22115	22122	22122	22486	22489	22353	22349	22365	29062	22087	22450	21536	22435	21937	21937	21952	21950	21951	22169	21939	21932	337	22352	22351
4	22411	21825	22116	0	21867	21614	22386	21868	22100	22100	22101	22100	22099	22435	22107	21429	21431	21578	21762	21797	21867	21868	21792	21837	21609	22435	22437	22096	22181	22132	21431	21870	22104	22128	22102	22098	21870	22104	22096	22555	22561	22555	21797	21794	22475	21364	22397	28550	22514	22549	22369	21516	22056	22064	21617	21612	21619	22612	22060	22053	22290	22478	22472
5	22340	92	21757	21867	0	22288	22298	18	21744	21743	21740	21741	21744	22284	21750	21962	21961	331	155	89	21	29	101	58	22292	22285	22284	21742	21821	21773	21955	25	21742	21777	21743	21742	29	21742	21737	21411	21415	21411	22470	22473	21384	22213	21514	29193	21378	21593	22328	22297	252	254	22160	22148	22155	21459	258	227	21933	21378	21378
6	22473	22305	22306	21614	22288	0	21753	22286	22283	22283	22286	22285	22285	21743	22288	21279	21279	22361	22313	22305	22289	22292	22301	22298	24	21743	21744	22283	22359	22325	21276	22290	22286	22313	22290	22284	22289	22282	22285	22100	22102	22099	240	233	22465	21329	21789	27495	22059	21879	22028	21418	22476	22474	21463	21458	21464	22150	22477	22472	22465	22475	22474
7	21661	22303	21307	22386	22298	21753	0	22295	21285	21286	21285	21288	21283	66	21287	21974	21974	22313	22264	22256	22294	22298	22253	22267	21755	73	82	21285	21352	21322	21973	22299	21285	21323	21286	21283	22293	21291	21286	21880	21887	21876	21942	21945	22491	22289	21970	29030	21851	22127	21344	22437	22480	22479	22168	22168	22170	21937	22473	22480	21470	22486	22486
8	22337	88	21757	21868	18	22286	22295	0	21741	21740	21738	21741	21744	22281	21748	21958	21957	325	154	88	19	23	96	56	22290	22282	22281	21742	21821	21774	21950	21	21741	21777	21742	21742	28	21744	21739	21410	21414	21410	22469	22472	21384	22212	21513	29192	21377	21593	22329	22296	248	250	22157	22145	22152	21456	254	224	21933	21378	21378
9	21383	21747	126	22100	21744	22283	21285	21741	0	8	14	17	19	21274	56	21741	21742	21808	21762	21754	21746	21747	21755	21753	22281	21278	21283	22	283	126	21746	21743	21	141	18	18	21742	27	25	22097	22104	22104	22462	22465	22340	22328	22340	29155	22067	22425	21510	22413	21924	21924	21935	21932	21933	22151	21927	21920	235	22338	22338
10	21384	21747	126	22100	21743	22283	21286	21740	8	0	11	16	19	21274	53	21741	21742	21807	21760	21754	21745	21745	21754	21752	22281	21277	21282	21	283	125	21746	21743	21	140	20	19	21740	26	25	22097	22104	22104	22462	22465	22337	22328	22341	29155	22069	22426	21509	22413	21924	21923	21934	21932	21933	22153	21925	21918	235	22335	22335
11	21385	21745	127	22101	21740	22286	21285	21738	14	11	0	18	23	21274	59	21743	21744	21804	21758	21751	21741	21743	21751	21749	22284	21278	21283	25	287	128	21747	21740	25	144	22	23	21738	29	28	22098	22105	22105	22464	22467	22340	22328	22343	29156	22069	22428	21509	22414	21921	21919	21936	21934	21935	22153	21922	21915	238	22338	22338
12	21381	21748	130	22100	21741	22285	21288	21741	17	16	18	0	19	21273	59	21744	21745	21807	21760	21753	21744	21745	21751	21751	22282	21278	21283	25	285	127	21744	21742	26	145	23	26	21739	26	26	22098	22105	22105	22462	22465	22337	22326	22343	29156	22068	22427	21508	22412	21923	21920	21935	21933	21935	22153	21924	21917	237	22337	22336
13	21382	21750	133	22099	21744	22285	21283	21744	19	19	23	19	0	21271	59	21737	21738	21810	21763	21755	21748	21749	21754	21754	22283	21274	21279	31	288	130	21742	21745	30	149	27	29	21742	31	29	22095	22102	22102	22462	22465	22338	22325	22345	29157	22066	22430	21513	22411	21926	21923	21931	21927	21928	22150	21926	21919	241	22338	22337
14	21650	22291	21298	22435	22284	21743	66	22281	21274	21274	21274	21273	21271	0	21276	21961	21962	22361	22312	22304	22281	22284	22299	22283	21742	22	31	21273	21340	21311	21956	22285	21273	21311	21277	21272	22278	21278	21274	21871	21878	21867	21928	21931	22481	22339	22018	29079	21842	22108	21336	22424	22466	22465	22152	22153	22156	21926	22459	22466	21459	22476	22477
15	21381	21755	168	22107	21750	22288	21287	21748	56	53	59	59	59	21276	0	21748	21749	21814	21768	21760	21752	21753	21761	21760	22287	21278	21282	66	327	168	21754	21749	67	176	64	64	21748	70	67	22103	22104	22110	22467	22470	22340	22325	22344	29153	22075	22430	21507	22411	21924	21923	21935	21933	21934	22152	21924	21925	264	22340	22339
16	22340	21969	21757	21429	21962	21279	21974	21958	21741	21741	21743	21744	21737	21961	21748	0	10	22032	21987	21978	21956	21962	21983	21968	21279	21960	21963	21741	21823	21777	22	21956	21737	21785	21742	21743	21957	21740	21746	21882	21889	21881	21464	21461	22460	21514	22337	29082	21844	22418	22349	21602	22150	22150	260	243	245	21934	22150	22148	21921	22457	22455
17	22338	21968	21759	21431	21961	21279	21974	21957	21742	21742	21744	21745	21738	21962	21749	10	0	22031	21986	21977	21955	21961	21982	21967	21280	21961	21964	21742	21824	21778	23	21955	21738	21786	21743	21745	21956	21742	21747	21882	21888	21880	21465	21462	22461	21511	22338	29082	21842	22417	22345	21599	22149	22149	263	243	247	21933	22149	22147	21922	22458	22456
18	22419	398	21822	21578	331	22361	22313	325	21808	21807	21804	21807	21810	22361	21814	22032	22031	0	205	256	330	335	256	306	22365	22362	22361	21806	21886	21839	22024	332	21806	21842	21808	21808	339	21809	21804	21483	21487	21483	22545	22548	21467	22214	21512	28906	21448	21660	22413	22370	553	550	22229	22219	22224	21532	551	533	21997	21461	21462
19	22366	225	21774	21762	155	22313	22264	154	21762	21760	21758	21760	21763	22312	21768	21987	21986	205	0	81	156	161	84	133	22315	22313	22312	21760	21839	21792	21981	156	21759	21795	21761	21759	165	21762	21757	21436	21440	21436	22498	22501	21408	22163	21467	29086	21402	21614	22363	22319	379	378	22187	22175	22181	21485	380	359	21951	21401	21402
20	22351	161	21769	21797	89	22305	22256	88	21754	21754	21751	21753	21755	22304	21760	21978	21977	256	81	0	85	95	28	65	22308	22304	22303	21753	21831	21784	21972	94	21752	21789	21753	21752	99	21755	21750	21423	21427	21423	22489	22492	21403	22157	21462	29124	21389	21609	22345	22314	320	322	22178	22166	22172	21471	325	295	21944	21397	21397
21	22336	92	21760	21867	21	22289	22294	19	21746	21745	21741	21744	21748	22281	21752	21956	21955	330	156	85	0	24	98	56	22292	22282	22281	21744	21823	21775	21949	24	21745	21780	21745	21745	31	21747	21741	21412	21416	21412	22469	22472	21385	22213	21516	29191	21379	21594	22330	22297	249	254	22154	22142	22149	21460	258	227	21935	21379	21379
22	22337	90	21761	21868	29	22292	22298	23	21747	21745	21743	21745	21749	22284	21753	21962	21961	335	161	95	24	0	100	51	22295	22286	22285	21745	21824	21778	21954	31	21745	21780	21746	21746	37	21747	21743	21413	21417	21413	22473	22476	21385	22209	21511	29193	21379	21589	22331	22293	257	258	22158	22147	22154	21459	262	234	21936	21379	21379
23	22348	171	21769	21792	101	22301	22253	96	21755	21754	21751	21751	21754	22299	21761	21983	21982	256	84	28	98	100	0	72	22303	22301	22300	21752	21831	21785	21974	105	21751	21788	21754	21754	109	21753	21749	21430	21434	21430	22485	22488	21405	22163	21463	29119	21396	21611	22353	22320	329	332	22181	22170	22176	21478	336	306	21944	21399	21399
24	22338	121	21768	21837	58	22298	22267	56	21753	21752	21749	21751	21754	22283	21760	21968	21967	306	133	65	56	51	72	0	22301	22285	22284	21752	21831	21784	21961	61	21751	21787	21751	21751	64	21753	21748	21420	21424	21420	22482	22485	21400	22183	21487	29164	21385	21601	22340	22302	288	288	22166	22154	22160	21467	293	264	21943	21394	21394
